Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Chefinho,The Life of David Gale_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:23:28,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2241,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4942,""mediaOffsetMs"":2693},{""eventType"":""stopped"",""sessionOffsetMs"":7339,""mediaOffsetMs"":2373}]"
Chefinho,Act 2 Conflict Clip: Spiderhead,FireTV 4K Stick 2018,2022-09-03 12:23:23,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3328,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5492,""mediaOffsetMs"":1954},{""eventType"":""stopped"",""sessionOffsetMs"":7693,""mediaOffsetMs"":1965}]"
Chefinho,Annihilation_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:23:20,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2504,""mediaOffsetMs"":0}]"
Chefinho,A Quiet Place_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:23:18,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2822,""mediaOffsetMs"":0}]"
Chefinho,Dirty Money: Season 1_hook_12_16x9,FireTV 4K Stick 2018,2022-09-03 12:23:10,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2337,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2451,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3613,""mediaOffsetMs"":68}]"
Chefinho,The Old Guard - Baseline Clip 2,FireTV 4K Stick 2018,2022-09-03 12:23:01,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2743,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":9270,""mediaOffsetMs"":6363},{""eventType"":""stopped"",""sessionOffsetMs"":11480,""mediaOffsetMs"":6374}]"
Chefinho,Case 39_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:22:59,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1901,""mediaOffsetMs"":0}]"
Chefinho,Jobs_hook_02_16x9,FireTV 4K Stick 2018,2022-09-03 12:22:57,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2785,""mediaOffsetMs"":0}]"
Chefinho,The Blacklist: Season 1 - Upper Bound Clip 1,FireTV 4K Stick 2018,2022-09-03 12:22:56,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2348,""mediaOffsetMs"":0}]"
Chefinho,Stardust_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:22:41,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3259,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":15688,""mediaOffsetMs"":12095},{""eventType"":""stopped"",""sessionOffsetMs"":18045,""mediaOffsetMs"":12194}]"
